date,content_type,views,likes,comments,shares,watch_pct,ctr,followers
2025-06-23,Carousel,8233,916,144,184,50.3,5.79,10362
2025-06-24,Carousel,3547,590,58,58,57.0,4.05,10389
2025-06-24,Static Post,3256,201,41,48,44.6,5.6,10389
2025-06-25,Reel,11784,2196,155,355,49.6,4.22,10426
2025-06-25,Carousel,5586,408,64,187,70.6,4.39,10426
2025-06-26,Carousel,7738,1179,119,236,54.8,3.42,10477
2025-06-27,Reel,4085,521,65,97,65.2,3.19,10544
2025-06-27,Carousel,7855,924,150,270,65.6,2.86,10544
2025-06-29,Static Post,4939,386,47,67,54.4,4.82,10575
2025-06-29,Carousel,4334,503,46,60,40.1,5.87,10575
2025-06-30,Reel,4375,633,113,150,68.2,4.64,10633
2025-06-30,Carousel,6111,938,80,145,47.7,5.95,10633
2025-07-01,Carousel,2382,199,47,39,44.0,3.69,10657
2025-07-02,Static Post,3997,407,37,84,41.3,4.39,10708
2025-07-04,Static Post,757,55,9,15,58.8,4.65,10760
2025-07-04,Static Post,6269,509,65,138,54.6,3.85,10760
2025-07-05,Carousel,5482,647,102,180,74.4,5.07,10837
2025-07-06,Carousel,9644,1372,93,223,50.4,5.41,10880
2025-07-07,Reel,2827,452,42,114,67.5,2.36,10917
2025-07-07,Reel,4657,849,126,126,61.5,2.67,10917
2025-07-08,Static Post,5290,294,36,74,41.3,5.83,10965
2025-07-09,Reel,6430,1238,167,257,74.8,2.7,11009
2025-07-09,Reel,9705,982,241,196,47.8,4.15,11009
2025-07-10,Carousel,8864,971,119,207,41.6,5.41,11087
2025-07-10,Reel,8976,1493,142,189,40.2,4.78,11087
2025-07-11,Reel,7194,781,163,116,69.8,3.98,11142
2025-07-11,Carousel,9204,970,178,235,49.3,5.51,11142
2025-07-12,Reel,8564,873,143,177,72.6,2.42,11180
2025-07-12,Carousel,7020,1153,114,232,40.2,5.28,11180
2025-07-13,Reel,7300,1281,183,205,40.2,3.15,11252
2025-07-14,Carousel,5988,436,128,90,49.9,2.07,11296
2025-07-14,Reel,5477,975,97,104,66.4,5.16,11296
2025-07-16,Reel,6936,1034,117,217,41.6,5.49,11323
2025-07-16,Story,3566,294,36,26,66.5,2.1,11323
2025-07-18,Static Post,4425,479,32,95,58.4,5.3,11373
2025-07-18,Reel,4818,857,116,98,44.6,5.47,11373
2025-07-19,Story,5588,307,37,99,54.3,5.58,11428
2025-07-19,Reel,5281,569,61,170,52.9,5.46,11428
2025-07-20,Reel,7786,1116,89,282,50.3,5.65,11492
2025-07-20,Story,2152,96,17,12,60.9,4.43,11492
2025-07-21,Reel,6286,937,98,228,50.9,3.82,11548
2025-07-21,Reel,8260,760,146,226,61.0,3.17,11548
2025-07-22,Story,4698,202,26,60,40.6,3.93,11645
2025-07-23,Carousel,9270,676,132,226,43.1,3.4,11724
2025-07-23,Reel,7973,788,165,265,68.0,2.8,11724
2025-07-25,Reel,6571,1211,139,205,61.5,3.2,11825
2025-07-26,Static Post,6699,355,100,112,68.6,3.81,11909
2025-07-26,Carousel,6169,755,124,86,42.1,2.99,11909
2025-07-27,Carousel,6679,958,147,149,41.5,2.65,11975
2025-07-28,Reel,2996,585,82,96,47.0,4.72,12062
2025-07-28,Reel,12074,1997,285,312,52.1,3.48,12062
2025-07-29,Carousel,7420,953,74,159,61.2,4.39,12136
2025-07-29,Static Post,3641,264,39,77,48.3,5.1,12136
2025-07-30,Reel,5023,555,138,95,69.9,3.97,12242
2025-07-30,Reel,8603,1218,148,263,45.7,3.56,12242
2025-07-31,Reel,12337,1849,262,309,48.3,2.94,12346
2025-07-31,Static Post,1946,149,24,20,55.7,4.35,12346
2025-08-01,Reel,7250,745,85,250,63.2,3.9,12438
2025-08-01,Static Post,5906,611,49,57,49.4,2.23,12438
2025-08-02,Carousel,11390,1065,138,160,43.6,4.34,12472
2025-08-02,Carousel,6735,928,66,133,74.1,4.32,12472
2025-08-03,Carousel,1585,215,18,20,50.8,4.82,12549
2025-08-03,Reel,10262,1372,264,194,64.2,5.35,12549
2025-08-04,Reel,7474,832,188,285,66.9,2.45,12614
2025-08-04,Static Post,5747,621,82,107,60.2,3.39,12614
2025-08-06,Story,5162,286,57,79,59.8,4.95,12650
2025-08-06,Static Post,2478,224,35,50,67.9,3.74,12650
2025-08-07,Carousel,5805,600,108,154,59.7,3.52,12710
2025-08-07,Carousel,11269,1292,110,294,45.9,4.57,12710
2025-08-08,Reel,17071,3084,340,468,40.9,3.36,12787
2025-08-08,Reel,14493,2083,310,513,68.5,4.87,12787
2025-08-09,Reel,3999,737,49,162,62.9,3.52,12901
2025-08-10,Reel,9899,1116,158,223,68.1,4.16,13028
2025-08-10,Reel,6896,1050,160,149,54.5,2.49,13028
2025-08-11,Static Post,4748,317,66,52,72.1,3.7,13074
2025-08-13,Reel,11992,1857,325,369,68.7,5.54,13166
2025-08-13,Reel,11945,1553,302,468,52.4,2.95,13166
2025-08-14,Static Post,3405,309,48,69,45.2,3.7,13279
2025-08-14,Reel,12055,1651,243,229,50.9,2.92,13279
2025-08-15,Reel,9206,1176,195,256,74.6,2.55,13374
2025-08-16,Reel,14114,2139,238,555,67.0,3.06,13459
2025-08-17,Reel,8803,1058,132,210,42.4,4.08,13595
2025-08-18,Reel,5985,900,135,122,56.0,2.76,13708
2025-08-18,Reel,13578,1716,234,568,55.6,3.33,13708
2025-08-19,Reel,7284,1048,93,193,66.5,3.39,13856
2025-08-19,Carousel,11143,1653,255,196,54.0,2.61,13856
2025-08-20,Static Post,7779,419,68,160,70.3,4.43,13981
2025-08-21,Reel,6810,803,106,164,43.1,5.75,14105
2025-08-21,Carousel,6781,779,123,165,72.2,3.99,14105
2025-08-22,Reel,5253,736,93,152,62.0,4.7,14214
2025-08-22,Carousel,7283,672,155,143,40.8,2.62,14214
2025-08-24,Carousel,10971,1656,126,358,72.3,3.95,14376
2025-08-24,Carousel,7561,909,115,117,52.9,2.27,14376
2025-08-25,Reel,13251,1231,321,230,60.8,5.75,14482
2025-08-25,Static Post,7986,383,52,140,52.8,3.55,14482
2025-08-26,Reel,9669,1889,117,323,74.4,2.96,14583
2025-08-26,Reel,10011,954,228,157,57.8,5.99,14583
2025-08-27,Reel,8812,911,195,332,65.4,5.17,14656
2025-08-28,Reel,16115,2677,388,230,54.6,3.93,14725
2025-08-28,Reel,10353,1170,248,184,58.7,2.86,14725
2025-08-29,Carousel,9503,926,179,227,49.3,2.6,14879
2025-08-31,Static Post,5660,444,56,81,56.1,5.14,14967
2025-08-31,Static Post,9067,689,80,194,41.3,5.61,14967
